Tarih;Konya - Merkez/Trafik;;;;
;PM10 ( - );CO ( - );NO2 ( - );NOX ( - );O3 ( - )
7.06.2021 00:00;4,75;614,31;96,54;108,45;-
7.06.2021 01:00;7,75;551,14;80,13;93,39;-
7.06.2021 02:00;8,73;204,03;29,51;31,64;54,07
7.06.2021 03:00;8,1;128,27;17,88;20,34;67,29
7.06.2021 04:00;10,57;124,34;16,78;20,52;72,5
7.06.2021 05:00;10,56;110,6;17,65;19,67;66,05
7.06.2021 06:00;8,01;91,16;15,7;17,81;73,66
7.06.2021 07:00;6,47;291,67;50,19;65,97;46,88
7.06.2021 08:00;12,1;506,63;87,33;132,29;26,03
7.06.2021 09:00;22,51;740,16;109,36;174,51;31,77
7.06.2021 10:00;28,87;540,39;76,35;116,85;57,76
7.06.2021 11:00;35,75;362,17;42,57;63,18;94,26
7.06.2021 12:00;36,27;354,98;39,93;55,51;100,41
7.06.2021 13:00;27,98;411,09;48,58;71,17;106,33
7.06.2021 14:00;19,92;393,27;56,59;83,6;115,39
7.06.2021 15:00;20,91;611,77;71,79;103,93;113,23
7.06.2021 16:00;29,84;-;45,91;-;-
7.06.2021 17:00;29,4;528,95;58,97;83;114,94
7.06.2021 18:00;24,85;-;-;-;-
7.06.2021 19:00;24,96;795,27;74,85;100,41;85,64
7.06.2021 20:00;25,39;795,78;99,03;136,64;59,08
7.06.2021 21:00;21,05;903,41;92,65;109,34;45,99
7.06.2021 22:00;16,87;891,62;105,11;131,28;28,66
7.06.2021 23:00;26,72;605,98;98,47;111,16;17,56
8.06.2021 00:00;36,17;497,52;79,4;87,3;26,45
8.06.2021 01:00;30,72;297,47;53,16;56,39;46,74
8.06.2021 02:00;21,48;178,48;23,73;26,2;74,56
8.06.2021 03:00;15,41;146,64;14,45;16,59;82,15
8.06.2021 04:00;14,4;131,84;12,29;14,06;83,5
8.06.2021 05:00;13,01;125,14;13,12;15,27;79,12
8.06.2021 06:00;9,65;104,32;19,71;22,17;70,37
8.06.2021 07:00;7,08;273,3;53,71;71,56;44,66
8.06.2021 08:00;14,23;450,03;84,57;121,55;33,44
8.06.2021 09:00;17,36;699,27;109,78;166,05;28,69
8.06.2021 10:00;26,77;614,02;90,63;135,41;57,27
8.06.2021 11:00;40,01;405,6;54,45;77,45;87,27
8.06.2021 12:00;40,3;405,79;44,02;62,32;101,26
8.06.2021 13:00;32;431,68;43,48;63,05;111,19
8.06.2021 14:00;23,86;480,59;47,72;68,3;105,81
8.06.2021 15:00;27,48;559,23;65,26;85,71;82,31
8.06.2021 16:00;34,17;468,52;52,54;76,73;84,03
8.06.2021 17:00;30,15;512,12;50,03;72,43;85,59
8.06.2021 18:00;25,21;447,31;41,65;56,17;86,8
8.06.2021 19:00;38,3;720,24;63,95;88,58;68,81
8.06.2021 20:00;50,51;868,56;86,61;113,43;34,38
8.06.2021 21:00;47,83;559,95;37,65;46,35;65,56
8.06.2021 22:00;40,21;678,26;42,2;51,13;57,92
8.06.2021 23:00;35,28;463,66;34,39;41,66;53,22
9.06.2021 00:00;30,26;437,08;27,31;33,61;53,03
9.06.2021 01:00;22,98;304,52;37,36;44,98;39,88
9.06.2021 02:00;16,66;227,4;25,93;32,23;51,32
9.06.2021 03:00;12,2;182,56;15,72;20,56;54,88
9.06.2021 04:00;9,11;153,99;15,74;20,8;56,48
9.06.2021 05:00;7,19;160,27;21,24;27,34;45,27
9.06.2021 06:00;5,66;190,68;20,98;24,61;24,97
9.06.2021 07:00;4,57;332,99;43,97;60,39;10,29
9.06.2021 08:00;16,48;515,35;62,84;98,46;16,23
9.06.2021 09:00;29,27;710,13;74,64;118,74;23,33
9.06.2021 10:00;36,92;644,75;71,81;105;39,1
9.06.2021 11:00;43,25;599,07;70,29;102,34;65,81
9.06.2021 12:00;44,26;365,13;37,83;55,78;89,46
9.06.2021 13:00;36,23;358,02;36,54;49,49;94,5
9.06.2021 14:00;29,1;420,72;40,56;59,47;98,94
9.06.2021 15:00;26,49;620,09;70,19;103,01;86,14
9.06.2021 16:00;26,39;498,45;65,91;91,98;94,01
9.06.2021 17:00;22,6;720,55;73,86;97,91;78,69
9.06.2021 18:00;22,23;702,19;78,63;101,81;64,57
9.06.2021 19:00;28,96;724,07;72,96;92,54;53,04
9.06.2021 20:00;35,44;700,17;71,77;89,99;35,07
9.06.2021 21:00;35,99;640,65;57,33;73;41,58
9.06.2021 22:00;31,98;352,33;44,16;61,32;66,17
9.06.2021 23:00;27,28;325,16;27,94;35,59;65,2
10.06.2021 00:00;24,8;209,86;19,96;25,35;71,63
10.06.2021 01:00;20,42;280,29;33,52;41,05;54,66
10.06.2021 02:00;16,11;276,66;27,23;32,69;53,8
10.06.2021 03:00;12,95;189,25;17,91;22,95;58,49
10.06.2021 04:00;11,81;179,94;18,24;22,69;61,29
10.06.2021 05:00;10,22;302,35;29,52;35,35;40,83
10.06.2021 06:00;10,15;287,08;36,41;41,7;26,34
10.06.2021 07:00;9,78;289,4;39,79;49,88;29,61
10.06.2021 08:00;20,35;412,77;53,23;72,93;36,69
10.06.2021 09:00;23,66;658,38;79,34;116,03;34,89
10.06.2021 10:00;20,1;552,84;65,38;93,84;42,43
10.06.2021 11:00;24,53;407,27;45,08;60,61;66,9
10.06.2021 12:00;-;-;35,88;-;-
10.06.2021 13:00;21,88;375,59;41,58;61,84;96,57
10.06.2021 14:00;16,99;535,85;54,2;74,4;74,85
10.06.2021 15:00;16,27;348,33;42,02;54,35;73,45
10.06.2021 16:00;14,48;413,91;55,47;73,64;65,75
10.06.2021 17:00;10,49;975,46;99,43;147,27;46,13
10.06.2021 18:00;11,98;565,44;63,93;86,9;56,29
10.06.2021 19:00;11,67;727,42;75,56;103,73;46,15
10.06.2021 20:00;11,07;757,56;71,54;100,79;45,46
10.06.2021 21:00;10,07;520,37;51,04;63,84;53,97
10.06.2021 22:00;8,07;598,35;45,63;60,25;64,66
10.06.2021 23:00;8,15;320,78;44,55;56,74;61,33
11.06.2021 00:00;10,57;514,78;74,85;92,17;27,08
11.06.2021 01:00;10,46;667,79;99,92;135,29;-
11.06.2021 02:00;15,49;312,48;50,14;60,15;12,32
11.06.2021 03:00;21,02;258,48;32,78;38,22;25,05
11.06.2021 04:00;22,41;264,97;39,2;46,52;16,6
11.06.2021 05:00;19,3;277,92;44,26;53,84;11,84
11.06.2021 06:00;15,85;337,06;48,9;63,47;5,7
11.06.2021 07:00;18,91;470,99;64,22;100,74;8,82
11.06.2021 08:00;27,23;571,58;76,42;123,05;18,92
11.06.2021 09:00;29,55;589,23;62,68;97,53;43,42
11.06.2021 10:00;26,09;546,98;65,19;100,21;57,43
11.06.2021 11:00;28,47;462,12;49,41;73,33;79,42
11.06.2021 12:00;30,45;396,59;37,05;55,11;93,9
11.06.2021 13:00;25,09;451,68;41,89;65,06;103,34
11.06.2021 14:00;18,01;-;32,9;-;-
11.06.2021 15:00;17,84;679,59;86,84;144,35;85,48
11.06.2021 16:00;16,84;465,26;57,57;87,26;101,17
11.06.2021 17:00;12,54;501,85;35,02;45,42;102,01
11.06.2021 18:00;9,16;551,24;50,4;59,14;88,55
11.06.2021 19:00;14,66;760,87;65,41;85,24;56,99
11.06.2021 20:00;19,15;734,76;66,8;87,75;47,95
11.06.2021 21:00;16,15;675,36;52,49;62,8;53,27
11.06.2021 22:00;11,93;957,4;78,46;106,02;31,3
11.06.2021 23:00;14,4;545,08;56,08;72,2;35,55
12.06.2021 00:00;23,53;446,92;34,87;44,42;48,71
12.06.2021 01:00;23,54;316,39;29,07;37,09;47,43
12.06.2021 02:00;16,94;392,02;37,26;47,87;27,7
12.06.2021 03:00;15,08;264,25;25,71;30,07;33,6
12.06.2021 04:00;15,06;311,71;40,97;50,82;14,98
12.06.2021 05:00;12,62;329,74;32,2;37,49;19,22
12.06.2021 06:00;16,16;383,9;46,62;57,52;5
12.06.2021 07:00;24,01;358,48;41,64;59,07;27,36
12.06.2021 08:00;27,18;376,85;39,57;56,19;45,75
12.06.2021 09:00;26,95;400,48;41,92;60,47;55,44
12.06.2021 10:00;26,91;320,66;31,2;46,45;70,77
12.06.2021 11:00;24,71;315,82;31,26;45,6;85,47
12.06.2021 12:00;24,63;349,74;28,34;42,1;100,61
12.06.2021 13:00;22,04;419,43;38,7;51,6;99,74
12.06.2021 14:00;15,98;472,75;47,78;62,4;86,41
12.06.2021 15:00;16,08;619,53;50,06;64,44;92,58
12.06.2021 16:00;17,44;513,88;56,76;66,98;83,16
12.06.2021 17:00;14,53;554,68;48,63;66,36;92,75
12.06.2021 18:00;10,99;-;64,71;-;-
12.06.2021 19:00;8,25;856,52;92,66;134,66;67,77
12.06.2021 20:00;-;-;-;-;-
12.06.2021 21:00;15,02;-;34,46;-;-
12.06.2021 22:00;14,11;558,47;49,07;58,03;63,07
12.06.2021 23:00;12,91;361,89;40,27;47,1;70,63
13.06.2021 00:00;10,87;411,56;46,73;53,88;49,45
13.06.2021 01:00;8,88;254,57;32,48;39,75;65,91
13.06.2021 02:00;6,63;224,16;37,32;46,94;54,27
13.06.2021 03:00;6,23;198,44;24,59;31,1;61,12
13.06.2021 04:00;6,83;144,07;20,96;26,57;59,25
13.06.2021 05:00;6,34;211,22;25,66;32,62;39,34
13.06.2021 06:00;5,01;240,14;37,03;44,19;20,61
13.06.2021 07:00;3,8;217,14;31,06;38,29;22,86
13.06.2021 08:00;11,07;212,37;34,66;45,6;47,14
13.06.2021 09:00;14,59;172,31;20,63;26,8;77,68
13.06.2021 10:00;14,65;193,99;26,51;34,49;81,71
13.06.2021 11:00;16,04;163,35;20,44;26,32;99,4
13.06.2021 12:00;14,31;142,21;11,46;14,67;123,76
13.06.2021 13:00;11,17;131,6;11,27;15,11;135,84
13.06.2021 14:00;8,39;117,74;11,73;15,99;138,17
13.06.2021 15:00;6,2;126,52;15,25;19,51;134,42
13.06.2021 16:00;4,97;102,31;10,49;12,74;142,3
13.06.2021 17:00;4,38;100,49;11,71;13,83;145,82
13.06.2021 18:00;3,58;92,09;13,56;15,55;145,12
13.06.2021 19:00;3,15;114,24;26,82;31,48;126,83
13.06.2021 20:00;2,76;91,84;22,35;26,22;111,6
13.06.2021 21:00;2,56;153,86;31,93;35,98;96,61
13.06.2021 22:00;2,35;129,32;26,3;30,28;90,23
13.06.2021 23:00;2;70,11;20,29;23,79;86,61
14.06.2021 00:00;2;108,71;25,69;28,51;80,71
14.06.2021 01:00;2,2;215,92;23,54;26,69;79,88
14.06.2021 02:00;2,36;154,71;15,5;17,33;88,16
14.06.2021 03:00;2,48;164,53;21,61;24,85;77,43
14.06.2021 04:00;3,14;133,21;17,95;20,92;88,11
14.06.2021 05:00;3,55;160,91;19,4;23,36;80,77
14.06.2021 06:00;3,53;195,28;27,06;31,97;63,68
14.06.2021 07:00;3,44;296,71;43,92;52,4;58,48
14.06.2021 08:00;6,71;271,09;45,79;55,38;72,52
14.06.2021 09:00;8,27;411,71;53,21;71,07;65,82
14.06.2021 10:00;9,73;424,69;54,84;74,51;69,57
14.06.2021 11:00;9,91;413,89;51,26;64,44;81,4
14.06.2021 12:00;12,48;434,15;49,91;70,5;105,6
14.06.2021 13:00;12,96;404,57;46,88;72,39;110,49
14.06.2021 14:00;9,47;356,37;43,23;52,71;95,84
14.06.2021 15:00;8,08;449,23;59,31;69,12;80,72
14.06.2021 16:00;15,11;733,09;80,34;111,15;62,59
14.06.2021 17:00;17,14;761,98;56,8;80,2;72,96
14.06.2021 18:00;12,53;621,22;47,15;61,38;79,26
14.06.2021 19:00;9,06;437,98;52,02;67,8;74,09
14.06.2021 20:00;18,42;665,74;75,06;96,85;48,21
14.06.2021 21:00;21,97;825,67;84,33;113,48;36,19
14.06.2021 22:00;17,21;958,73;99,94;138,68;12,21
14.06.2021 23:00;17,31;663,66;87,23;110,23;8,91
15.06.2021 00:00;24,78;466,91;59,68;74,62;24,25
15.06.2021 01:00;24,63;-;41,95;-;-
15.06.2021 02:00;22,48;443,85;45,96;53,74;24,55
15.06.2021 03:00;19,68;262,31;31,07;36,32;40,91
15.06.2021 04:00;19,3;148,54;14,89;19,4;46,95
15.06.2021 05:00;18,06;147,36;16,4;20,38;48,4
15.06.2021 06:00;14,89;157,81;17,74;22,86;53,07
15.06.2021 07:00;15,48;220,94;25,04;34,1;49,39
15.06.2021 08:00;15,95;264,49;31,93;43,31;49,39
15.06.2021 09:00;15,65;398,89;40,9;61,21;54,51
15.06.2021 10:00;20,48;479,77;58,57;90,99;54,21
15.06.2021 11:00;-;-;-;-;-
