Tarih;Konya - Merkez/Trafik;;;;
;PM10 ( - );CO ( - );NO2 ( - );NOX ( - );O3 ( - )
9.05.2021 19:00;3,78;52,72;10,09;11,97;104,15
9.05.2021 20:00;3,05;18,77;12,62;14,11;105,05
9.05.2021 21:00;2,29;-;13,05;16,29;99,87
9.05.2021 22:00;1,77;-;16,74;19,31;88,6
9.05.2021 23:00;1,4;-;16,54;18,76;87,34
10.05.2021 00:00;1,14;-;16,78;18,8;81,53
10.05.2021 01:00;0,98;63,89;12,9;14;77,91
10.05.2021 02:00;0,95;57,64;11,8;12,75;79,63
10.05.2021 03:00;1,1;58,43;11,56;12,51;80,11
10.05.2021 04:00;1,21;51,81;8,98;9,68;82,83
10.05.2021 05:00;1,96;57,2;13,38;14,56;80,62
10.05.2021 06:00;2,33;44,51;10,05;11,25;82,83
10.05.2021 07:00;2,33;58,46;12,63;14,44;78,73
10.05.2021 08:00;2,37;116,08;29,96;37,56;65,37
10.05.2021 09:00;2,36;161,59;30,63;43,4;71,69
10.05.2021 10:00;2,35;146,66;23,07;31,3;82,71
10.05.2021 11:00;2,33;160,83;26,85;38,71;83,22
10.05.2021 12:00;2,43;163,73;23,4;32,33;85,78
10.05.2021 13:00;3,16;162,82;22,76;31,41;94,96
10.05.2021 14:00;3,38;160,41;22,27;31,65;101,15
10.05.2021 15:00;3,16;194,97;26,41;36,56;102,85
10.05.2021 16:00;4,2;181,37;26,35;35,57;107,11
10.05.2021 17:00;9,59;139,18;26,31;34,97;107,09
10.05.2021 18:00;10,63;187,8;32,23;44,84;101,98
10.05.2021 19:00;7,95;175,66;31,34;39,07;99,31
10.05.2021 20:00;5,64;127,17;28,59;36,08;99,43
10.05.2021 21:00;3,95;81,03;21,67;25;100,19
10.05.2021 22:00;2,81;142;35,46;36,85;76,64
10.05.2021 23:00;2,05;165,42;37,39;38,68;69,92
11.05.2021 00:00;5,74;128,89;27,25;28,03;79,4
11.05.2021 01:00;7,82;241,3;40,18;42,71;58,82
11.05.2021 02:00;6,41;435,06;69,89;76,79;28,08
11.05.2021 03:00;4,82;258,33;36,61;37,96;58
11.05.2021 04:00;4,02;144,55;21,34;22,46;69,86
11.05.2021 05:00;4,53;89,93;14,6;15,69;76,73
11.05.2021 06:00;4,11;72,7;11,46;12,4;80,05
11.05.2021 07:00;3,42;82,22;16,62;19,42;73,02
11.05.2021 08:00;3,15;108,7;25,4;31,74;74,24
11.05.2021 09:00;5,32;213,39;36,42;47,31;79,44
11.05.2021 10:00;6,21;195,42;28,67;37,59;93,45
11.05.2021 11:00;6,19;146,37;18,7;23,71;108,22
11.05.2021 12:00;10,49;163,15;18,01;24,83;114,63
11.05.2021 13:00;12,85;171,61;20,41;25,69;120,3
11.05.2021 14:00;11,03;215,83;24,52;32,12;118,44
11.05.2021 15:00;8,42;226,24;26,16;34,35;117,5
11.05.2021 16:00;12,99;227,25;26,36;33,83;119,54
11.05.2021 17:00;15,81;279,4;37,74;46,49;108,11
11.05.2021 18:00;12,9;291,16;35,56;44,82;105,83
11.05.2021 19:00;9,62;307,59;36,12;45,75;96,03
11.05.2021 20:00;6,99;245,75;37,67;47,81;94,17
11.05.2021 21:00;7,85;262,72;34,89;37,14;80,1
11.05.2021 22:00;7,17;332,75;53,5;62,49;63,17
11.05.2021 23:00;5,02;416,09;61,26;64,69;38,89
12.05.2021 00:00;13,25;557,58;74,63;81,21;19,43
12.05.2021 01:00;19,76;432,52;59,39;63,24;33,27
12.05.2021 02:00;17,24;309,02;40,43;42,38;50,07
12.05.2021 03:00;14,2;208,39;25,96;27,69;60,66
12.05.2021 04:00;11,62;126,88;19,97;21,81;69,44
12.05.2021 05:00;13,63;135,01;16,86;18,89;72,98
12.05.2021 06:00;12,86;191,3;30,57;33,8;47,72
12.05.2021 07:00;9,73;236,31;34,09;41,47;45,7
12.05.2021 08:00;14,61;480,25;66,58;95,25;26,27
12.05.2021 09:00;31,46;415,73;55,61;74,07;54,25
12.05.2021 10:00;31,49;336,35;36,86;48,99;78,8
12.05.2021 11:00;29,42;238,74;22,64;30,44;98,28
12.05.2021 12:00;31,04;223,55;14,53;19,4;108,06
12.05.2021 13:00;31,22;224,56;16,89;23,51;109,86
12.05.2021 14:00;25,4;265,77;20,99;30,69;111,48
12.05.2021 15:00;18,12;267,18;20,56;28,64;110,52
